psa_chapter_code,psa_chapter_desc,psa_chapter_address,psa_chapter_president,psa_chapter_contact_no
BCL,BICOL," "," "," "
CRG,"CARAGA "," "," "," "
CCV,CEBU-CENTRAL VISAYAS," "," "," "
CLN,CENTRAL LUZON," "," "," "
EVS,EASTERN VISAYAS," "," "," "
ILO,ILOILO-PANAY," "," "," "
NCR,NATIONAL CAPITAL REGION," "," "," "
NOL,NEGROS OCCIDENTAL," "," "," "
NEL,NORTHEASTERN LUZON," "," "," "
NMO,NORTHERN MINDANAO," "," "," "
NWL,NORTHWESTERN LUZON," "," "," "
PNL,PANGASINAN-NORTH LUZON," "," "," "
SOC,SOCSKSARGEN," "," "," "
SMO,SOUTHERN MINDANAO," "," "," "
STG,SOUTHERN TAGALOG," "," "," "
WMN,WESTERN MINDANAO," "," "," "
BBP,BAGUIO-BENGUET-MOUNTAIN PROVIN,,NULL,NULL
TAR,TARLAC CHAPTER,,NULL,NULL
PAM,PAMPANGGA CHAPTER,,NULL,NULL
BOZ,BATAAN-OLONGAPO-ZAMBALES  CHAP,,NULL,NULL
NEC,NUEVA ECIJA CHAPTER,,NULL,NULL
LUC,LA UNION CHAPTER,,NULL,NULL
SCV,SOUTHERN CAGAYAN VALLEY CHAPTE,,NULL,NULL
BUL,BULACAN CHAPTER,,NULL,NULL
LAN,LANAO CHAPTER,,NULL,NULL
BUK,BUKIDNON,,NULL,NULL
