member_id_no,hospital,hosp_address,hosp_hours,hosp_tel_no,hosp_designation,hosp_days,hosp_remarks,hosp_primary
0192,BIÑAN DOCTORS HOSPITAL,,,,,,,1
1842,FEU NRMF,,,,,,,0
2693,JOSE R. REYES MEMORIAL MEDICAl CENTER,,,,,,,1
2173,CARDINAL SANTOS MEDICAL CENTER,,,,,,,1
1808,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
1499,DAVAO DOCTORS HOSPITAL,,,,,,,1
4270,CHONG HUA HOSPITAL,,,,,,,0
4320,EAST AVENUE MEDICAL CENTER,,,,,,,0
4022,EAST AVENUE MEDICAL CENTER,,,,,,,0
0358,DR. PABLO O. TORRE SR. MEMORIAL HOSPITAL,,,,,,,1
5904,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,,,,,,,0
3923,SAINT LUKE'S MEDICAL CENTER,,,,,,,0
3940,TARLAC PROVINCIAL HOSPITAL,,,,,,,0
1850,CAPITOL UNIVERSITY MEDICAL CITY,,,,,,,1
3827,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,1
4024,DOH-CART,,,,,,,1
2558,STA. TERESITA GENERAL HOSPITAL,,,,,,,1
3552,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,,,,,1
3926,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,,,,,,,1
5718,PERPETUAL SUCCOUR HOSPITAL,,,,,,,0
3527,UNITED DOCTORS MEDICAL CENTER,,,,,,,1
0715,AGO GENERAL HOSPITAL,,,,,,,0
5242,LAS PIÑAS GENERAL HOSPITAL & SATELLITE TRAUMA CENTER,,,,,,,0
3282,UP-PGH MEDICAL CENTER,,,,,,,1
5330,NORTHERN MINDANAO MEDICAL CENTER,,,,,,,0
3223,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
6066,CARDINAL SANTOS MEDICAL CENTER,,,,,,,0
2918,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,1
1933,UST HOSPITAL,,,,,,,1
3345,NORTHERN MINDANAO MEDICAL CENTER,,,,,,,1
6108,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,,,,,0
3779,CAGAYAN VALLEY MEDICAL  CENTER,,,,,,,1
0136,BUCAG'S HOSPITAL,,,,,,,0
1929,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3080,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3542,EAST AVENUE MEDICAL CENTER,,,,,,,1
4013,OSPITAL NG MAYNILA MEDICAL CENTER,,,,,,,0
2462,"ALLAH VALLEY MEDICAL SPECIALISTS CENTER, INC.",,,,,,,1
3462,OSPITAL NG MAYNILA MEDICAL CENTER,,,,,,,1
0256,FEU NRMF,,,,,,,0
2633,QUEZON CITY GENERAL HOSPITAL,,,,,,,1
2621,PHILIPPINE ORTHOPEDIC CENTER,,,,,,,1
1422,GENERAL SANTOS DOCTORS HOSPITAL,,,,,,,1
2352,THE MEDICAL CITY,,,,,,,1
3242,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,1
2247,OUR LADY OF MEDIATRIX HOSPITAL,,,,,,,0
4682,FATIMA UNIVERSITY MEDICAL CENTER,,,,,,,0
3171,GEAMH,,,,,,,0
4990,SAINT LOUIS UNIVERSITY HOSPITAL OF THE SACRED HEART,,,,,,,0
3072,EASTERN VISAYAS REGIONAL MEDICAL CENTER,,,,,,,1
2708,EAST AVENUE MEDICAL CENTER,,,,,,,1
0173,LA UNION MEDICAL CENTER,,,,,,,1
3507,PERPETUAL SUCCOUR HOSPITAL,,,,,,,1
4478,DE LA SALLE UNIVERSITY MEDICAL  CENTER,,,,,,,0
3911,UERM MEMORIAL MEDICAL CENTER,,,,,,,1
2603,LAGUNA HOLY FAMILY HOSPITAL,,,,,,,0
5142,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,0
0227,LA UNION MEDICAL CENTER,,,,,,,1
2705,MARY CHILES GENERAL HOSPITAL,,,,,,,1
4433,UP-PGH MEDICAL CENTER,,,,,,,1
0191,RIVERSIDE MEDICAL CENTER,,,,,,,1
3696,DAVAO REGIONAL HOSPITAL,,,,,,,1
4847,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,0
5433,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,,,,,,,0
4945,FAR NORTH LUZON GENERAL HOSPITAL AND TRAINING CENTER,,,,,,,0
3583,SAN JUAN MEDICAL CENTER,,,,,,,1
3463,DE LA SALLE UNIVERSITY MEDICAL  CENTER,,,,,,,1
0921,BACOLOD ADVENTIST MEDICAL CENTER,,,,,,,1
3398,MAKATI MEDICAL CENTER,,,,,,,1
3587,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,,,,,,,1
0193,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
1999,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
1831,MATEO'S DIAGNOSTIC HOSPITAL,,,,,,,1
2326,PASIG CITY GENERAL HOSPITAL,,,,,,,1
0342,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
2329,METRO LIPA MEDICAL CENTER,,,,,,,1
1139,PHILIPPINE HEART CENTER,,,,,,,0
2617,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,,,,,1
3505,SOUTHERN PHILIPPINES MEDICAL CENTER,,,,,,,1
0547,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
1846,DAVAO DOCTORS HOSPITAL,,,,,,,1
5212,DAVAO DOCTORS HOSPITAL,,,,,,,0
3671,UP-PGH MEDICAL CENTER,,,,,,,1
1808,NATIONAL CHILDREN HOSPITAL,,,,,,,0
3163,ZAMBOANGA CITY MEDICAL CENTER,,,,,,,1
3012,"ORIENTAL MINDORO PROVINCIAL HOSPITAL ",,,,,,,1
1119,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
5308,NORTHERN MINDANAO MEDICAL CENTER,,,,,,,0
3369,EASTERN VISAYAS REGIONAL MEDICAL CENTER,,,,,,,1
0266,MADONNA GENERAL HOSPITAL,,,,,,,1
2393,MARIKINA VALLEY MEDICAL CENTER,,,,,,,0
1360,MAKATI MEDICAL CENTER,,,,,,,0
0413,CABANATUAN CITY GENERAL HOSPITAL,,,,,,,1
1993,THE MEDICAL CITY,,,,,,,1
3649,ZAMBOANGA CITY MEDICAL CENTER,,,,,,,1
1910,WESTERN VISAYAS MEDICAL CENTER,,,,,,,1
4443,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,,,,,,,0
0805,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
2392,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
1433,METROPOLITAN MEDICAL CENTER,,,,,,,1
0936,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3765,LAGUNA DOCTOR'S HOSPITAL,,,,,,,1
1999,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,,,,,1
3511,"SAN PEDRO HOSPITAL, DAVAO CITY",,,,,,,1
2483,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
1149,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
1428,ST. JUDE HOSPITAL AND MEDICAL CENTER,,,,,,,1
1619,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
5815,NORTHERN MINDANAO MEDICAL CENTER,,,,,,,0
1335,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
2534,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3292,DE LA SALLE UNIVERSITY MEDICAL  CENTER,,,,,,,1
1630,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
1668,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3444,THE MEDICAL CITY,,,,,,,1
1433,ST. JUDE HOSPITAL AND MEDICAL CENTER,,,,,,,0
4910,QUEZON CITY GENERAL HOSPITAL,,,,,,,0
0936,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
0645,PERPETUAL HELP HOSPITAL,,,,,,,0
2005,COTABATO REGIONAL AND MEDICAL CENTER,,,,,,,1
1005,HOWARD HUBBARD MEMORIAL HOSPITAL,,,,,,,1
0715,AQUINAS UNIVERSITY HOSPITAL,,,,,,,0
5785,PERPETUAL SUCCOUR HOSPITAL,,,,,,,0
1453,BUTUAN DOCTORS HOSPITAL,,,,,,,1
4452,UP-PGH MEDICAL CENTER,,,,,,,0
3309,PHILIPPINE CHILDREN MEDICAL CENTER,,,,,,,1
0865,ASIAN HOSPITAL AND MEDICAL CENTER,,,,,,,1
2424,THE MEDICAL CITY,,,,,,,1
1578,DR. AMADO BLAS PROVINCIAL HOSPITAL,,,,,,,1
1442,PHILIPPINE HEART CENTER,,,,,,,0
4836,REGION 1 MEDICAL CENTER,,,,,,,0
3722,VALENZUELA MEDICAL CENTER,,,,,,,0
0901,MINDANAO SANITARIUM & HOSPITAL,,,,,,,1
1050,CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,1
3347,SOUTHERN PHILIPPINES MEDICAL CENTER,,,,,,,1
4268,CHONG HUA HOSPITAL-MANDAUE,,,,,,,0
2826,EASTERN VISAYAS REGIONAL MEDICAL CENTER,,,,,,,1
